iter	Passed	Remaining
0	93	55810
1	126	37940
2	159	31793
3	194	28918
4	227	27099
5	261	25841
6	295	25006
7	327	24242
8	359	23590
9	391	23085
10	436	23397
11	479	23484
12	520	23483
13	560	23471
14	600	23404
15	635	23208
16	678	23280
17	722	23372
18	767	23474
19	814	23627
20	847	23375
21	882	23179
22	919	23073
23	953	22873
24	986	22689
25	1018	22486
26	1055	22397
27	1087	22212
28	1119	22048
29	1150	21857
30	1181	21678
31	1209	21473
32	1241	21330
33	1275	21227
34	1306	21096
35	1338	20964
36	1368	20819
37	1404	20766
38	1444	20773
39	1479	20719
40	1517	20689
41	1550	20603
42	1583	20509
43	1615	20411
44	1645	20299
45	1676	20189
46	1706	20075
47	1736	19968
48	1767	19876
49	1799	19790
50	1831	19713
51	1863	19639
52	1904	19657
53	1937	19594
54	1970	19529
55	2002	19455
56	2031	19354
57	2064	19293
58	2096	19222
59	2127	19150
60	2156	19059
61	2188	18990
62	2219	18916
63	2251	18853
64	2282	18789
65	2314	18728
66	2346	18666
67	2377	18600
68	2410	18550
69	2442	18495
70	2475	18442
71	2507	18385
72	2536	18313
73	2566	18240
74	2597	18185
75	2627	18112
76	2657	18048
77	2691	18011
78	2731	18012
79	2766	17984
80	2804	17969
81	2843	17961
82	2880	17941
83	2918	17927
84	2957	17917
85	2995	17902
86	3045	17957
87	3089	17973
88	3123	17932
89	3153	17869
90	3183	17809
91	3219	17777
92	3256	17750
93	3289	17706
94	3327	17686
95	3363	17656
96	3397	17618
97	3432	17580
98	3470	17564
99	3515	17577
100	3557	17578
101	3630	17726
102	3675	17735
103	3709	17690
104	3741	17640
105	3771	17578
106	3802	17518
107	3833	17461
108	3863	17402
109	3893	17343
110	3927	17301
111	3958	17249
112	3991	17201
113	4023	17154
114	4056	17107
115	4091	17070
116	4127	17037
117	4162	17003
118	4196	16961
119	4229	16917
120	4262	16872
121	4295	16831
122	4331	16796
123	4362	16746
124	4393	16696
125	4425	16650
126	4458	16604
127	4489	16555
128	4520	16506
129	4552	16459
130	4585	16417
131	4618	16373
132	4653	16338
133	4684	16290
134	4715	16241
135	4748	16199
136	4779	16153
137	4812	16110
138	4843	16065
139	4875	16018
140	4906	15972
141	4938	15928
142	4969	15881
143	5001	15837
144	5028	15779
145	5061	15737
146	5091	15689
147	5122	15643
148	5153	15598
149	5184	15553
150	5216	15510
151	5251	15477
152	5282	15434
153	5313	15389
154	5345	15347
155	5377	15305
156	5410	15266
157	5441	15222
158	5473	15181
159	5508	15148
160	5542	15113
161	5576	15077
162	5609	15039
163	5643	15002
164	5670	14949
165	5702	14909
166	5737	14876
167	5771	14840
168	5806	14809
169	5842	14776
170	5877	14745
171	5913	14713
172	5947	14680
173	5983	14648
174	6017	14613
175	6052	14581
176	6089	14553
177	6123	14517
178	6157	14482
179	6193	14451
180	6234	14431
181	6272	14406
182	6310	14380
183	6347	14351
184	6384	14322
185	6421	14294
186	6459	14267
187	6497	14239
